;Preprocessor;Feature Reduction;Algorithm (Library);Components;Mean cv;Stdev.;Test data;Elapsed Time;Exception
132;STA;PCA;EAEC - Easy Ensamble Classifier (Imbalanced Learn);4;0,9954861111111111;0,009827063679225635;0,9938271604938271;2,8808114528656006;
133;NOS;PCA;EAEC - Easy Ensamble Classifier (Imbalanced Learn);4;0,9868055555555555;0,019752031462955393;0,9938271604938271;2,876387596130371;
134;NOS;NOR;MNB - Multinomial Naive Bayes (Scikit Learn);4;0,9858796296296297;0,016226835341038786;0,9938271604938271;1,9946355819702148;
135;MAX;NOR;GNB - Gaussian Naive Bayes (Scikit Learn);4;1,0;0,0;0,9917695473251028;0,06776094436645508;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
136;MAX;PCA;FUTS - FUT Stacking Classifier (Scikit Learn);4;1,0;0,0;0,9917695473251028;6,907590389251709;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
137;MAX;PCA;GNB - Gaussian Naive Bayes (Scikit Learn);4;1,0;0,0;0,9917695473251028;0,0802605152130127;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
138;MAX;PCA;MLPC - Multi Layered Peceptron (Scikit Learn);4;1,0;0,0;0,9917695473251028;2,9062306880950928;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
139;MAX;PCA;NCT - Nearest Centroid (Scikit Learn);4;1,0;0,0;0,9917695473251028;2,4917383193969727;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
140;MIX;NOR;GNB - Gaussian Naive Bayes (Scikit Learn);4;1,0;0,0;0,9917695473251028;0,05481886863708496;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
141;MIX;PCA;MLPC - Multi Layered Peceptron (Scikit Learn);4;1,0;0,0;0,9917695473251028;2,847888946533203;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
142;NOS;NOR;GNB - Gaussian Naive Bayes (Scikit Learn);4;1,0;0,0;0,9917695473251028;0,06563663482666016;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
143;STA;NOR;GNB - Gaussian Naive Bayes (Scikit Learn);4;1,0;0,0;0,9917695473251028;0,05714821815490723;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
144;NOS;PCA;LRN - Logistic Regression (Scikit Learn);4;0,9979166666666666;0,006250000000000011;0,9917695473251028;1,7717952728271484;
145;NRM;NOR;GNB - Gaussian Naive Bayes (Scikit Learn);4;0,9979166666666666;0,006250000000000011;0,9917695473251028;0,08229279518127441;
146;NRM;PCA;MLPC - Multi Layered Peceptron (Scikit Learn);4;0,9979166666666666;0,006250000000000011;0,9917695473251028;3,027928113937378;
147;MIX;PCA;HIST - Histogram-based Gradient B. Classifier (Scikit Learn);4;0,9944444444444445;0,016666666666666642;0,9917695473251028;0,21226239204406738;
148;STA;PCA;BABC - Balanced Bagging Classifier (Imbalanced Learn);4;0,9927083333333334;0,021874999999999988;0,9917695473251028;2,004690170288086;
149;NOS;PCA;MLPC - Multi Layered Peceptron (Scikit Learn);4;0,992361111111111;0,017137448165629298;0,9917695473251028;2,730074405670166;
150;STA;PCA;ABC - Ada Boost Classifier (Scikit Learn);4;0,990625;0,015376104045475347;0,9917695473251028;2,6500563621520996;
151;MIX;PCA;GBC - Gradient Boosting Classifier (Scikit Learn);4;0,9871527777777779;0,02598605172509398;0,9917695473251028;2,0782530307769775;
152;MAX;NOR;SRF1 - Stacked Random Forests 1 (Scikit Learn);4;1,0;0,0;0,9897119341563786;5,429321050643921;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
153;STA;PCA;RUBC - RUS Boost Classifier (Imbalanced Learn);4;0,992013888888889;0,012427451505675879;0,9897119341563786;2,208361864089966;
154;STA;PCA;BARF - Balanced Random Forest (Imbalanced Learn);4;0,986111111111111;0,018373272993504098;0,9897119341563786;2,029494047164917;
155;MAX;PCA;ETC - Extra Trees Classifier (Scikit Learn);4;1,0;0,0;0,9876543209876543;0,24384140968322754;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
156;MAX;PCA;FUTV - FUT Voting Classifier (Scikit Learn);4;1,0;0,0;0,9876543209876543;2,6844937801361084;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
157;NOS;NOR;RADN - Radius Neighbors Classifier (Scikit Learn);4;0,9930555555555556;0,01075828707279837;0,9876543209876543;1,9178290367126465;
158;NOS;PCA;RADN - Radius Neighbors Classifier (Scikit Learn);4;0,9930555555555556;0,01075828707279837;0,9876543209876543;1,9271295070648193;
159;STA;NOR;BARF - Balanced Random Forest (Imbalanced Learn);4;1,0;0,0;0,9855967078189302;2,03008770942688;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
160;MAX;NOR;GPC - Gaussian Process Classifier (Scikit Learn);4;1,0;0,0;0,9835390946502057;0,10676717758178711;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
161;MAX;NOR;NCT - Nearest Centroid (Scikit Learn);4;1,0;0,0;0,9835390946502057;1,757739543914795;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
162;MAX;PCA;BARF - Balanced Random Forest (Imbalanced Learn);4;1,0;0,0;0,9835390946502057;2,0192670822143555;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
163;MAX;PCA;GPC - Gaussian Process Classifier (Scikit Learn);4;1,0;0,0;0,9835390946502057;0,09392285346984863;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
164;MAX;PCA;RFCL - Random Forest Classifier (Scikit Learn);4;1,0;0,0;0,9835390946502057;2,689472198486328;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
165;MAX;PCA;SRF1 - Stacked Random Forests 1 (Scikit Learn);4;1,0;0,0;0,9835390946502057;5,4066162109375;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
